EventName,MovieName,MovieClosedCaption,MovieRating,Location,Location Notes,StartDate,EndDate,Zipcode,Phone,ContactName,ContactEmail,EventUrl,ParkUrl,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Movies in the Parks at Foster,Jurassic World,Yes,PG-13,Foster Park,NULL,,,60620,(312) 747-6135,Anita Gueringer,anita.gueringer@chicagoparkdistrict.com,,,"1440 W. 84th St.
Chicago, IL
(41.741345, -87.659988)",59,70,21554,531,13,18
Movies in the Parks at Kilbourn,Pa! Por Mis Hijos Lo Que Sea (Dad),No,NR,Kilbourn Park,NULL,,,60641,(773) 685-3351,Matt Fontana,,,,"3501 N. Kilbourn Ave.
Chicago, IL
(41.944504, -87.739651)",21,16,22618,328,21,27
Movies in the Parks at Jensen,Pacific Rim,N/A,PG-13,Jensen Park,NULL,,,60625,(312) 742-7054,Gerald Pistone,Gerald.Pistone@Chicagoparkdistrict.com,,,"4650 N. Lawndale Ave.
Chicago, IL
(41.9657, -87.720608)",20,14,21849,119,12,2
Midweek on the Midway at Midway Plaisance,Zootopia,N/A,PG,Midway Plaisance Park,NULL,,,60637,(312) 745-2470,Rick Shaheen,Rick.Shaheen@chicagoparkdistrict.com,,,"1130 Midway Plaisance North
Chicago, IL",,,,,,
Movies in the Parks at Oriole,UP,N/A,PG,Oriole Park,NULL,,,60656,(773) 631-6197,Frank Clark,frances.clark@chicagoparkdistrict.com,,,"5430 N. Olcott Ave.
Chicago, IL
(41.977688, -87.814434)",31,36,4448,735,29,34
Movies in the Parks at Independence,Rocky,N/A,PG,Independence Park,NULL,,,60618,(773) 478-3538,Julie Thompson,,,,"3945 N. Springfield Ave.
Chicago, IL
(41.952657, -87.72507)",39,16,21538,326,50,28
Movies in the Parks at Webster,Minions,N/A,N/A,Daniel Webster Park,NULL,,,60605,(312) 257-4486,Sarah Unz   (Chicago Women's),sarah.unz@chicagopakdistrict.com,,,"1357 S. Indiana
Chicago, IL
(41.864392, -87.622376)",35,34,14913,374,9,48
Movies in the Parks at Belmont Harbor,Lawrence of Arabia,Yes,PG,Lincoln Park,"Movie showing south of Belmont Harbor, east of Lake Shore Drive.",,,60614,(312) 742-7726 ,Lauren Quinn,,,,"500-5700 N. Lake Shore Drive
Chicago, IL
(41.89111, -87.6143)",6,37,21182,534,36,22
Movies in the Parks at Oakdale,Jurassic World,Yes,PG-13,Oakdale Park,NULL,,,60643,(312) 747-6569,Richard Carter,richard.carter@chicagoparkdistrict.com,,,"965 W. 95th St.
Chicago, IL
(41.721324, -87.648147)",13,72,22212,592,13,18
Movies in the Parks at Wolfe,Jurassic World,Yes,PG-13,Wolfe Playground Park,NULL,,,60617,(312) 747-7005,Venus Roman,venus.delacruz@chicagoparkdistrict.com,,,"3325 E. 108th St.
Chicago, IL
(41.699134, -87.542709)",25,49,21202,602,47,47
Movies in the Parks at O'Hallaren,Ant-Man,Yes,PG-13,O'Hallaren Park,NULL,,,60620,(312) 747-6573,Tarria Tyner ,tarria.tyner@chicagoparkdistrict.com,,,"8335 S. Honore St.
Chicago, IL
(41.742142, -87.66922)",59,70,21554,532,13,6
Movies in the Parks at Cotton Tail,Finding Nemo,Yes,G,Cotton Tail Park,NULL,,,60605,(312) 742-3918,Jackie Gutherie   (Daley Bicentennial),jackie.guthrie@chicagoparkdistrict.com,,,"44 W. 15th St.
Chicago, IL
(41.861916, -87.629097)",35,34,14913,330,9,12
Movies in the Parks at South Shore,Creed,Yes,PG-13,South Shore Cultural Center,Movie showing behind the South Shore Cultural Center,,,60649,(773) 256-0149,Andrea Adams,andrea.adams@chicagopark.com,,,"7059 S. South Shore Dr.
Chicago, IL
(41.766242, -87.562783)",24,39,22538,417,37,43
Movies in the Parks at Piotrowski,Sin Hijos (No Kids),No,NR,Piotrowski Park,NULL,,,60623,(312) 747-6608 ,Andrew Del Rivero ,andrew.delrivero@chicagoparkdistrict.com,,,"4247 W. 31st St.
Chicago, IL
(41.836813, -87.731076)",57,32,21569,248,28,14
Movies in the Parks at Webster,Ferris Bueller's Day Off,Yes,PG-13,Daniel Webster Park,NULL,,,60605,(312) 257-4486,Sarah Unz   (Chicago Women's),sarah.unz@chicagopakdistrict.com,,,"1357 S. Indiana
Chicago, IL
(41.864392, -87.622376)",35,34,14913,374,9,48
Movies in the Parks at Chippewa,Zootopia,Yes,PG,Chippewa Park,NULL,,,60645,(773) 761-0380 ,Jeff Jaski,,,,"6748 N. Sacramento Ave.
Chicago, IL
(42.004309, -87.70461)",12,20,22528,32,27,42
Movies in the Parks at Trebes,Goosebumps,Yes,PG,Trebes Park,NULL,,,60614,(312) 742-7769,Adele Bach,adele.bach@chicagoparkdistrict.com,,,"2250 N. Clifton Ave.
Chicago, IL
(41.922768, -87.657146)",16,68,21190,797,34,16
Movies in the Parks at Vittum,Jurassic World,Yes,PG-13,Vittum Park,NULL,,,60638,(773) 284-6022,Michael Floyd,michael.floyd@chicagoparkdistrict.com,,,"5010 W. 50th St.
Chicago, IL
(41.801881, -87.762183)",,,22268,,,
Movies in the Parks at Merrimac,Big Hero 6,N/A,PG,Merrimac Park,NULL,,,60634,(773) 685-3382,Donna Segreti,donna.segreti@chicagoparkdistrict.com,,,"6343 W. Irving Park Rd.
Chicago, IL
(41.952941, -87.785768)",52,15,22254,131,19,25
Movies in the Parks at Wrightwood,Jurassic World,Yes,PG-13,Wrightwood Park,NULL,,,60614,(312) 742-7816,Ariel Hernandez,,,,"2534 N. Greenview Ave.
Chicago, IL
(41.927985, -87.665809)",16,68,21190,770,11,16
Movies in the Parks at Marquette,Inside Out,Yes,PG,Marquette Park,Movie showing east of the Marquette Park spray pool.,,,60629,(312) 747-6469,Doug Borders,doug.borders@chicagoparkdistrict.com,,,"6743 S. Kedzie Ave.
Chicago, IL
(41.77132, -87.702908)",58,64,21867,383,31,6
Movies in the Parks at Humboldt,Maze Runner: The Scorch Trials,Yes,PG-13,Humboldt Park,Movie showing at 39th St. and Lake Shore Dr.,,,60622,(312) 742-7549,Jesus Perez,Jesus.Perez@chicagoparkdistrict.com,,,"1400 N. Sacramento Ave
Chicago, IL
(41.902766, -87.701791)",4,25,21560,301,49,10
Movies in the Parks at Bartelme,Night at the Museum,Yes,PG,"Bartelme, Mary Park",NULL,,,60607,(312) 746-5494 ,Tony Fitzgerald  (Union),tony.fitzgerald@chicagoparkdistrict.com,,,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)",44,29,14917,91,26,48
Movies in the Parks at Shabbona,The Martian,Yes,PG-13,Shabbona Park,NULL,,,60634,(773) 685-6205,Laura LeVitus,laura.levitus@chicagoparkdistrict.com,,,"6935 W. Addison St.
Chicago, IL
(41.945407, -87.800259)",52,17,22254,444,19,39
Movies in the Parks at Osterman Beach,"To Wong Foo, Thanks for Everything, Julie Newmar",Yes,PG-13,Kathy Osterman Beach,"Movie showing north of Bryn Mawr Ave., east of Lake Shore Drive.",,,60660,(312) 742-5121,NULL,,,,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,,
Movies in the Parks at Belmont Harbor,Vertigo,Yes,PG,Lincoln Park,"Movie showing south of Belmont Harbor, east of Lake Shore Drive.",,,60614,(312) 742-7726 ,Lauren Quinn,,,,"500-5700 N. Lake Shore Drive
Chicago, IL
(41.89111, -87.6143)",6,37,21182,534,36,22
Movies in the Parks at Berger,The Sting,No,PG,Berger Park,NULL,,,60660,(773) 761-0376,"Justin ""J.D."" Ostergaard ",,,,"6205 N. Sheridan Rd.
Chicago, IL
(41.994711, -87.655536)",14,76,4451,45,16,40
Movies in the Parks at Unity,Inside Out,Yes,PG,Unity Playlot Park,NULL,,,60647,(312) 742-7546,Rebecca Tirado   (Kosciuszko Park),rebecca.tirado@chicagoparkdistrict.com,,,"2636 N. Kimball Ave.
Chicago, IL
(41.929239, -87.712198)",1,23,22535,72,12,15
Movies in the Parks at Winnemac,Jurassic World,Yes,PG-13,Winnemac Park,NULL,,,60625,(312) 742-5101,Lisa Ragucci,lisa.ragucci@chicagoparkdistrict.com,,,"5100 N. Leavitt St.
Chicago, IL
(41.974286, -87.684226)",20,6,21849,106,24,13
Movies in the Parks at Hamilton,The Hunger Games: Mockingjay - Part 2,Yes,PG-13,Hamilton Park,NULL,,,60621,(312) 747-6174,Michael Lindsey,michael.lindsey@chicagoparkdistrict.com,,,"513 W. 72nd St.
Chicago, IL
(41.763485, -87.63878)",11,66,21559,511,32,31
Movies in the Parks at Oz,The Wizard of Oz,Yes,G,Oz Park,NULL,,,60614,(312) 742-7898,Adele Bach,adele.bach@chicagoparkdistrict.com,,,"2021 N. Burling St.
Chicago, IL
(41.919045, -87.647303)",16,68,21190,798,34,51
Movies in the Parks at Berger,Best in Show,N/A,PG-13,Berger Park,NULL,,,60660,(773) 761-0376,"Justin ""J.D."" Ostergaard ",,,,"6205 N. Sheridan Rd.
Chicago, IL
(41.994711, -87.655536)",14,76,4451,45,16,40
Movies in the Parks at Moore,Inside Out,Yes,PG,Moore Park,NULL,,,60644,(773) 287-0561,Lathrese Williams,lathrese.williams@chicagoparkdistrict.com,,,"5085 W. Adams St.
Chicago, IL
(41.878517, -87.752765)",32,26,22216,184,23,11
Movies in the Parks at Oz,Field of Dreams,Yes,PG,Oz Park,NULL,,,60614,(312) 742-7898,Adele Bach,adele.bach@chicagoparkdistrict.com,,,"2021 N. Burling St.
Chicago, IL
(41.919045, -87.647303)",16,68,21190,798,34,51
Movies in the Parks at Veteran's Memorial,Inside Out,Yes,PG,Veterans' Memorial Park,NULL,,,60617,(312) 747-6812,Robert Quinones,robert.quinones@chicagoparkdistrict.com,,,"2820 E. 98th St.
Chicago, IL
(41.717305, -87.555391)",25,48,21202,526,47,47
Movies in the Parks at White (Willye B.),Minions,Yes,PG,White (Willye B.) Park,NULL,,,60626,(773) 262-5051,Valerie Lyons,,,,"1610 W. Howard
Chicago, IL
(42.019399, -87.671582)",9,10,21853,340,5,3
Movies in the Parks at Montgomery Ward,Bridge of Spies,Yes,PG-13,Ward (Aaron Montgomery) Park,NULL,,,60606,(312) 742-7895,Joyce Freeman-Herron,joyce.herron@chicagoparkdistrict.com,,,"630 N. Kingsbury St.
Chicago, IL
(41.892878, -87.640952)",55,37,4446,652,36,22
Movies In The Parks at Owens,The Amazing Spider Man 2 (2014),N/A,PG-13,Owens Park,NULL,,,60617,(312) 747-6709,Jetaune Guyton,jetayne.guyton@chicagoparkdistrict.com,,,"8800 S. Clyde Ave.
Chicago, IL
(41.734405, -87.573238)",25,44,21202,473,35,9
Movies in the Parks at Dvorak,Sin Hijos (No Kids),No,NR,Dvorak Park,NULL,,,60608,(312) 746-5083,Steven Izquierdo,antonio.segura@chicagoparkdistrict.com,,,"1119 W. Cullerton St.
Chicago, IL
(41.855228, -87.653947)",43,33,14920,251,26,8
Movies in the Parks at Osterman Beach,Beach Blanket Bingo,No,NR,Kathy Osterman Beach,"Movie showing north of Bryn Mawr Ave., east of Lake Shore Drive.",,,60660,(312) 742-5121,NULL,,,,"5800 N. Lake Shore Dr.
Chicago, IL",,,,,,
Movies in the Parks at South Shore,The Wiz,Yes,G,South Shore Cultural Center,Movie showing behind the South Shore Cultural Center,,,60649,(773) 256-0149,Andrea Adams,andrea.adams@chicagopark.com,,,"7059 S. South Shore Dr.
Chicago, IL
(41.766242, -87.562783)",24,39,22538,417,37,43
Movies in the Parks at Tuley,Poltergeist (2015),Yes,PG-13,Tuley Park,NULL,,,60619,(312) 747-6763,Donna Jones,Donna.Jones@chicagoparkdistrict.com,,,"501 E. 90th Pl.
Chicago, IL
(41.730111, -87.60948)",61,40,21546,430,35,31
Movies in the Parks at Brainerd,Jurassic World,Yes,PG-13,Brainerd Park,NULL,,,60620,(312) 747-6027,John Ball ,John.Ball@chicagoparkdistrict.com,,,"1246 W. 92nd St.
Chicago, IL
(41.726792, -87.654282)",59,72,21554,195,13,18
Movies in the Parks at Langley,Spare Parts,Yes,PG-13,Langley Playlot Park,NULL,,,60628,(312) 747-6576,Palmer Park,,,,"11255 S. Langley Ave.
Chicago, IL
(41.690007, -87.605916)",19,47,21861,601,43,30
Movies in the Parks at Athletic Field,The Goonies,N/A,PG,Athletic Field Park,NULL,,,60618,(773) 478-2889,Gualberto Roldan,,,,"3546 W. Addison St.
Chicago, IL
(41.946538, -87.715942)",39,16,21538,325,12,15
Movies in the Parks at Moran Playground,"Movies in the Parks is Chicago's favorite summertime tradition, bringing big-screen entertainment to a park near you!",Yes,PG-13,Moran Playground Park,NULL,,,60621,(312) 747-6560,Mondrakco Butler,mondrako.butler@chicagoparkdistrict.com,,,"5727 S. Racine Ave.
Chicago, IL
(41.790068, -87.654765)",11,66,22257,409,2,19
Movies in the Parks at Shedd,Jurassic World,Yes,PG-13,Shedd Park,NULL,,,60623,(773) 762-3168,Wanda Norris,wanda.norris@chicagoparkdistrict.com,,,"3660 W. 23rd St.
Chicago, IL
(41.849847, -87.716566)",57,32,21569,754,28,14
Movies in the Parks at Mandrake,Teenage Mutant Ninja Turtles (2014),Yes,PG-13,Mandrake Park,NULL,,,60653,(312) 656-0423 (Ellis Park in Dolittle School),Ivan Simmons,ivan.simmons@chicagoparkdistrict.com,,,"3858 S. Cottage Grove Avenue
Chicago, IL
(41.824833, -87.607322)",36,2,4301,221,10,1
Movies in the Parks at Harold Washington,Jurassic World,Yes,PG-13,Harold Washington Playlot Park,Movie showing northeast of S. Hyde Park Blvd. and E. 53rd St.,,,60615,(312) 747-6620 ,Nichols Park (Ayanna Nikki Peters),ayanna.peters@chicagoparkdistrict.com,,,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.800598, -87.584362)",10,8,21192,405,33,1
Movies in the Parks at Independence,Grease,N/A,PG,Independence Park,NULL,,,60618,(773) 478-3538,Julie Thompson,,,,"3945 N. Springfield Ave.
Chicago, IL
(41.952657, -87.72507)",39,16,21538,326,50,28
Movies In The Parks at Pasteur,Minions,N/A,PG,Pasteur Park,NULL,,,60629,(773) 284-0530,Carmen Escamilla,carmen.escamilla@chicagoparkdistrict.com,,,"5825 S. Kostner Ave.
Chicago, IL
(41.786168, -87.732757)",58,60,21867,773,15,23
Movies in the Parks at Indian Boundary,Plan 9 from Outer Space,No,NR,Indian Boundary Park,NULL,,,60645,(773) 764.0338,Phil Martini ,phil.martini@chicagoparkdistrict.com,,,"2500 W. Lunt Ave.
Chicago, IL
(42.008606, -87.692536)",12,20,22528,42,27,42
Movies In The Parks at Rainey,Sponge Bob: Sponge Out Of Water ,No,PG,Rainey Park,NULL,,,60652,(773) 284-0696,Michelle Drez,michelle.drez@chicagoparkdistrict.com,,,"4350 W. 79th St.
Chicago, IL
(41.749427, -87.730387)",8,69,4300,571,30,23
Movies in the Parks at Lincoln,Jumanji,Yes,PG-13,Lincoln Park,"Movie showing east of Stockton Dr., across from Cultural Center",,,60614,(312) 742-7726 ,Lauren Quinn,,,,"500-5700 N. Lake Shore Drive
Chicago, IL
(41.89111, -87.6143)",6,37,21182,534,36,22
Movies in the Parks at Wicker,Frankenweenie,Yes,PG,Wicker Park,NULL,,,60622,(312) 742-7553,"Claribel ""Clare"" Rodriguez",claribel.rodriguez@chicagoparkdistrict.com,,,"1425 N. Damen Avenue
Chicago, IL
(41.90763, -87.677389)",4,25,21560,481,41,24
Movies in the Parks at Calumet,The Magnificent Seven,Yes,NR,Calumet Park,Movie showing east of the Calumet Park Fieldhouse.,,,60617,(312) 747-6039,Demitrice Seaton,demitrice.seaton@chicagoparkdistrict.com,,,"9801 S. Avenue G
Chicago, IL
(41.717823, -87.531589)",25,49,21202,705,47,47
Movies in the Parks at Park No. 540,Pixels,Yes,PG-13,Park No. 540,NULL,,,60616,NULL,Sherry Overton (the Park at NTA),sherry.overton@chicagoparkdistrict.com,,,"NULL
NULL, NULL",,,,,,
Chicago Onscreen at Northerly Island,Chicago Onscreen Local Film Showcase,No,NR,Northerly Island Park,NULL,,,60605,(312) 745-2910,Teishetta Daniel,teishetta.daniel@chicagoparkdistrict.com,,,"1521 S. Linn White Dr.
Chicago, IL
(41.860281, -87.610245)",35,34,14913,374,10,48
Movies in the Parks at Maplewood,Inside Out,Yes,PG,Maplewood Park,NULL,,,60647,(312) 742-0041 ,Tiffany Kessel,,,,"1640 N. Maplewood Ave.
Chicago, IL
(41.911016, -87.690906)",1,25,22535,287,41,24
Movies in the Parks at Brooks,The Goonies,Yes,PG,Brooks Park,NULL,,,60631,(773) 631-4401,Tom Broderick,,,,"7100 N. Harlem Ave.
Chicago, IL
(42.010284, -87.806652)",,,4456,,,
Movies in the Parks at Brooks,Back to the Future,Yes,PG,Brooks Park,NULL,,,60631,(773) 631-4401,Tom Broderick,,,,"7100 N. Harlem Ave.
Chicago, IL
(42.010284, -87.806652)",,,4456,,,
Movies in the Parks at Gill,The Lego Movie,Yes,PG,Gill Park,NULL,,,60613,(312) 742-7802,Dennis Gonzalez,,,,"825 W. Sheridan Rd.
Chicago, IL
(41.952738, -87.650669)",53,57,21186,83,39,37
Movies in the Parks at Grand Crossing,Furious 7,Yes,PG-13,Grand Crossing Park,NULL,,,60619,(312) 747-6158,Ron Wright ,Ronald.Wright@chicagoparkdistrict.com,,,"7655 S. Ingleside Ave.
Chicago, IL
(41.755786, -87.60167)",61,67,21546,497,35,9
Movies In The Parks at Avalon,Daddy's Home,N/A,N/A,Avalon Park,NULL,,,60619,(312) 747-6015,Patricia McMillan,patricia.mcmillan@chicagoparkdistrict.com,,,"1215 E. 83rd St.
Chicago, IL
(41.744101, -87.594181)",61,41,21546,133,35,9
Movies In The Parks at Foster,Minions,N/A,PG,Foster Park,NULL,,,60620,(312) 747-6135,Anita Gueringer,anita.gueringer@chicagoparkdistrict.com,,,"1440 W. 84th St.
Chicago, IL
(41.741345, -87.659988)",59,70,21554,531,13,18
Movies in the Parks at Holstein,Labyrinth,Yes,PG,Holstein Park,NULL,,,60647,(312) 742-7554 ,Shannon English,shannon.english@chicagoparkdistrict.com,,,"2200 N. Oakley Ave.
Chicago, IL
(41.922402, -87.685509)",1,23,22535,324,40,16
Movies in the Parks at Beverly,Believe (2013),Yes,PG,Beverly Park,NULL,,,60642,(312) 747-6024,Sue Kukulski,Sue.Kukulski@chicagoparkdistrict.com,,,"2460 W. 102nd St.
Chicago, IL
(41.708192, -87.68277)",33,71,4447,661,42,33
Movies in the Parks at Wildwood,The SpongeBob Square Pants Movie,N/A,PG,Wildwood Park,NULL,,,60646,(773) 631-7455,Sharon O'Connell,,,,"6950 N. Hiawatha Ave.
Chicago, IL
(42.006605, -87.777366)",18,12,22532,781,29,34
Movies in the Parks at Winnemac,Minions,Yes,PG,Winnemac Park,NULL,,,60625,(312) 742-5101,Lisa Ragucci,lisa.ragucci@chicagoparkdistrict.com,,,"5100 N. Leavitt St.
Chicago, IL
(41.974286, -87.684226)",20,6,21849,106,24,13
Movies in the Parks at Harrison,Les Triplettes de Belleville,No,PG-13,Harrison Park,NULL,,,60608,(312) 746-5491,Tony Gonzales,tony.gonzales@chicagoparkdistrict.com,,,"1824 S. Wood St.
Chicago, IL
(41.856811, -87.671063)",43,33,14920,343,26,8
Movies in the Parks at Kosciuszko,Un Caballo Llamadao Elefante (Elephant the Horse),No,NR,Kosciuszko Park,NULL,,,60647,(312) 742-7546 ,Rebecca Tirado,rebecca.tirado@chicagoparkdistrict.com,,,"2732 N. Avers Ave.
Chicago, IL
(41.93101, -87.723287)",1,23,22535,107,17,15
Movies in the Parks at Montgomery Ward,Minions,Yes,PG,Ward (Aaron Montgomery) Park,NULL,,,60606,(312) 742-7895,Joyce Freeman-Herron,joyce.herron@chicagoparkdistrict.com,,,"630 N. Kingsbury St.
Chicago, IL
(41.892878, -87.640952)",55,37,4446,652,36,22
Movies in the Parks at Hoyne,Pacific Rim,Yes,PG-13,Hoyne Playground Park,NULL,,,60608,(312) 747-6184 ,Vacant,michael.hixenbaugh@chicagoparkdistrict.com,,,"3417 S. Hamilton Ave.
Chicago, IL
(41.831627, -87.678962)",43,56,14920,2,1,26
Movies in the Parks at Riis,Hotel Transylvania 2,Yes,PG,Riis Park,NULL,,,60639,(312) 746-5363 ,Keith Hammerberg,keith.hammerberg@chicagoparkdistrict.com,,,"6100 W. Fullerton Ave.
Chicago, IL
(41.923817, -87.779347)",2,19,22615,78,21,52
Movies in the Parks at Ellis,Inside Out,Yes,PG,Ellis (Samuel) Park,NULL,,,60653,(312) 656 - 0423 ,Monique Scott,monique.scott@chicagoparkdistrict.com,,,"707 E. 37th St.
Chicago, IL
(41.827815, -87.608547)",36,2,4301,582,10,1
Movies in the Parks at Bartelme,Rio,Yes,G,"Bartelme, Mary Park",NULL,,,60607,(312) 746-5494 ,Tony Fitzgerald  (Union),tony.fitzgerald@chicagoparkdistrict.com,,,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)",44,29,14917,91,26,48
Movies in the Parks at LeClaire-Hearst,The Hunger Games: Mockingjay - Part 2,Yes,PG-13,LeClaire Courts/Hearst Community,NULL,,,60638,(312) 747-6438,Cheryl Hill-Beverly,cheryl.hill-beverly@chicagoparkdistrict.com,,,"5120 W. 44th St.
Chicago, IL
(41.812913, -87.752557)",7,53,22268,604,28,35
Movies in the Parks at Douglas,Hotel Transylvania 2,Yes,PG,Douglas Park,NULL,,,60623,(773) 762-2842,Angela Sallis ,angela.sallis@chicagoparkdistrict.com,,,"1401 S. Sacramento Dr.
Chicago, IL
(41.862686, -87.701891)",57,30,21569,132,14,36
Movies in the Parks at Calumet,Aladdin,Yes,G,Calumet Park,Movie showing east of the Calumet Park Fieldhouse.,,,60617,(312) 747-6039,Demitrice Seaton,demitrice.seaton@chicagoparkdistrict.com,,,"9801 S. Avenue G
Chicago, IL
(41.717823, -87.531589)",25,49,21202,705,47,47
Movies in the Parks at Ellis,Creed,Yes,PG-13,Ellis (Samuel) Park,NULL,,,60653,(312) 656 - 0423 ,Monique Scott,monique.scott@chicagoparkdistrict.com,,,"707 E. 37th St.
Chicago, IL
(41.827815, -87.608547)",36,2,4301,582,10,1
Movies in the Parks at West Pullman,The Hunger Games: Mockingjay - Part 2,Yes,PG-13,West Pullman Park,NULL,,,60628,(312) 747-7090,Sandra Thomas,,,,"401 W. 123rd St.
Chicago, IL
(41.670625, -87.632751)",19,50,21861,7,22,45
Movies in the Parks at Palmer,Jurassic World,Yes,PG-13,Palmer Park,NULL,,,60628,(312) 747-6577,Targett Johnson,targett.johnson@chicagoparkdistrict.com,,,"201 E. 111th St.
Chicago, IL
(41.692654, -87.617721)",19,45,21861,253,43,30
Movies in the Parks at Athletic Field,Jurassic World,N/A,PG-13,Athletic Field Park,NULL,,,60618,(773) 478-2889,Gualberto Roldan,,,,"3546 W. Addison St.
Chicago, IL
(41.946538, -87.715942)",39,16,21538,325,12,15
Movies in the Parks at Chase,Beetle Juice,N/A,PG,Chase Park,NULL,,,60640,(312) 742-7518,Katie Fearon-Peon,,,,"4701 N. Ashland Ave.
Chicago, IL
(41.967098, -87.669326)",15,31,22616,559,18,13
Movies in the Parks at Grant,Dirty Rotten Scoundrels,Yes,PG,Grant Park,Movie showing northwest of E Balbo Ave. and S. Columbus Dr.,,,60601,(312) 742-3918,Jackie Guthrie   (Daley Bicentennial Park),jacqueline.guthrie@chicagoparkdistrict.com,,,"337 E. Randolph St.
Chicago, IL
(41.884353, -87.620091)",41,38,14309,580,36,22
Movies in the Parks at La Villita,Wall-E,Yes,G,La Villita Park,"Movie showing at the north end of La Villita Park, at 27th St.",,,60608,312-746-5962,Andrew Del Rivero (Piotrowski Park),andrew.derivero@chicagoparkdistrict.com,,,"2800 S. Sacramento
Chicago, IL
(41.840355, -87.699996)",57,32,14920,124,14,29
Movies in the Parks at South Shore,Jumanji,Yes,PG,South Shore Cultural Center,Movie showing behind the South Shore Cultural Center,,,60649,(773) 256-0149,Andrea Adams,andrea.adams@chicagopark.com,,,"7059 S. South Shore Dr.
Chicago, IL
(41.766242, -87.562783)",24,39,22538,417,37,43
Movies In The Parks at Trumbull,Pixels,N/A,PG-13,Trumbull Park,NULL,,,60617,(312) 747-6759,"Joe Lewis, Jr.",,,,"2400 E. 105th St.
Chicago, IL
(41.704615, -87.56567)",25,48,21202,174,37,47
Movies in the Parks at South Shore,The Intern,Yes,PG-13,South Shore Cultural Center,Movie showing behind the South Shore Cultural Center,,,60649,(773) 256-0149,Andrea Adams,andrea.adams@chicagopark.com,,,"7059 S. South Shore Dr.
Chicago, IL
(41.766242, -87.562783)",24,39,22538,417,37,43
Movies in the Parks at Sherwood,Creed,Yes,PG-13,Sherwood Park,NULL,,,60621,(773) 256-0926,Stacey Lowe,stacey.lowe@chicagoparkdistrict.com,,,"5701 S. Shields Ave.
Chicago, IL
(41.790484, -87.634039)",11,66,21559,166,4,53
Movies in the Parks at Hiawatha,Ferris Bueller's Day Off,Yes,PG-13,Hiawatha Park,NULL,,,60634,(312) 746-5559 ,Larry Krawetz,lawrence.krawetz@chicagoparkdistrict.com,,,"8029 W. Forest Preserve Dr.
Chicago, IL
(41.943375, -87.828929)",52,17,22254,413,19,39
Movies in the Parks at Augusta,The Peanuts Movie,Yes,G,Augusta Park,NULL,,,60651,(312) 742-7544,Maria Garduno,maria.garduno@chicagoparkdistrict.com,,,"4433 W. Augusta Blvd.
Chicago, IL
(41.898876, -87.736891)",5,24,4299,99,45,4
Movies in the Parks at Dunbar,War Room,Yes,PG,Dunbar Park,NULL,,,60616,(312) 747-5962,Keith Jones (Williams Park),keith.jones@chicagoparkdistrict.com,,,"300 E. 31st St.
Chicago, IL
(41.838421, -87.618745)",40,1,21194,191,10,48
Movies in the Parks at Harrison,Ant-Man,Yes,PG-13,Harrison Park,NULL,,,60608,(312) 746-5491,Tony Gonzales,tony.gonzales@chicagoparkdistrict.com,,,"1824 S. Wood St.
Chicago, IL
(41.856811, -87.671063)",43,33,14920,343,26,8
Movies in the Parks at Riis,The Spongebob Movie: Sponge Out of Water,Yes,PG,Riis Park,NULL,,,60639,(312) 746-5363 ,Keith Hammerberg,keith.hammerberg@chicagoparkdistrict.com,,,"6100 W. Fullerton Ave.
Chicago, IL
(41.923817, -87.779347)",2,19,22615,78,21,52
Movies in the Parks at Riis,Zootopia,Yes,PG,Riis Park,NULL,,,60639,(312) 746-5363 ,Keith Hammerberg,keith.hammerberg@chicagoparkdistrict.com,,,"6100 W. Fullerton Ave.
Chicago, IL
(41.923817, -87.779347)",2,19,22615,78,21,52
Movies in the Parks at Loyola,Inside Out,Yes,PG,Loyola Park,Movie showing in the lawn at Farwell Ave.,,,60626,(773) 262-8605,Mary Hopkins,mary.hopkins@chicagoparkdistrict.com,,,"1230 W. Greenleaf Ave.
Chicago, IL
(42.01044, -87.661298)",9,10,21853,267,5,3
Movies in the Parks at Churchill Field,All Dogs Go to Heaven,Yes,G,Churchill Field Playlot Park,NULL,,,60614,(312) 742-7554,Vivian Garcia,,,,"1825 N. Damen Ave.
Chicago, IL
(41.914792, -87.677554)",4,23,21560,179,40,16
Movies in the Parks at Gladstone,Avengers: Age of Ultron,Yes,PG-13,Gladstone Park,NULL,,,60630,(773) 631-7859 ,Samantha Jayne,,,,"5421 N. Menard Ave.
Chicago, IL
(41.979015, -87.773258)",48,11,21869,693,50,20
Movie at the DuSable Museum,Imagine That,N/A,PG,Washington Park,NULL,,,60637,(773) 256-1248,Janie M. Collins,janie.collins@chicagoparkdistrict.com,,,"5531 S. Martin Luther King Dr.
Chicago, IL",,,,,,
Movies in the Parks at Wentworth,The Martian,Yes,PG-13,Wentworth Park,NULL,,,60638,(312) 747-6993,Paul Veliotis,paul.veliotis@chicagoparkdistrict.com,,,"5625 S. Mobile Ave.
Chicago, IL
(41.790224, -87.779233)",7,53,22268,590,15,35
