Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
Thu,08/15/2019,Davis Square Park,(312) 747-6107,Teen Titans Go! To The Movies,Y,PG-13,,4430 S. Marshfield Ave.,"(41.81310599, -87.66646688)",37,59,14924,706,3
Fri,08/16/2019,Independence Park,(773) 478-3538,Bohemian Rhapsody,Y,PG-13,,3945 N. Springfield Ave.,"(41.95322543, -87.72494811)",39,16,21538,326,50
Mon,06/17/2019,Grant Park: Logan Monument,(312) 742-1134,Chicago,Y,PG-13,,900 S. Michigan Ave.,"(41.87055847, -87.62428661)",35,38,14913,368,10
Sat,07/27/2019,Mamie Till-Mobley Park,(312) 747-7661,Coco,Y,PG,,6404 S. Ellis Ave.,"(41.77835204, -87.60055506)",60,9,22260,347,4
Sat,06/22/2019,Pulaski Park,(312) 742-7559,Guardians of the Galaxy,Y,PG-13,The Museum of Science and Industry,1419 W. Blackhawk St.,"(41.90693712, -87.66360239)",49,25,22620,483,11
Wed,08/07/2019,Kelvyn Park,(312) 742-7547,What I Feel for You / Lo Que Siento Por Ti,Y,NR,The International Latino Cultural Center,4438 W. Wrightwood Ave.,"(41.92875053, -87.73827846)",2,21,22615,439,17
Fri,06/14/2019,Shedd Park,(773) 762-3168,Night School,Y,PG-13,,3660 W. 23rd St.,"(41.84992518, -87.71735905)",57,32,21569,754,28
Tue,07/09/2019,Kells Playground Park,(312) 742-7544,Spider-Man: Into the Spider-Verse,Y,PG,Bickerdike Redevelopment Corp.,3201 W. Chicago Ave.,"(41.89544308, -87.7066155)",30,24,21572,177,46
Wed,08/14/2019,La Villita Park,(312) 747-6608,Turbo,Y,PG,,2800 S. Sacramento Blvd.,"(41.8408764, -87.70018045)",57,32,21569,124,1
Sat,08/03/2019,Ogden Park,(312) 747-6572,Ralph Breaks the Internet,Y,PG,,6500 S. Racine Ave.,"(41.77588058, -87.65454639)",23,65,22257,21,31
Wed,06/26/2019,La Villita Park,(312) 747-6608,The House with a Clock in its Walls,Y,PG,,2800 S. Sacramento Blvd.,"(41.8408764, -87.70018045)",57,32,21569,124,1
Thu,07/18/2019,Bartelme (Mary) Park,(312) 746-5962,Space Jam,Y,PG,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"(41.87994748, -87.65066137)",44,29,14917,91,26
Sat,07/13/2019,Oz Park,(312) 742-7898,Ghostbusters (1984),Y,PG,The Oz Park Advisory Council,2021 N. Burling St.,"(41.9189011, -87.64717807)",16,68,21190,798,34
Sat,08/24/2019,Buttercup Playlot Park,(312) 742-7502,Spider-Man: Into the Spider-Verse,Y,PG,,4901 N. Sheridan Rd.,"(41.97166865, -87.65473895)",15,31,22616,635,16
Fri,07/19/2019,Paschen Park,(773) 262-5871,Ant-Man and the Wasp,Y,PG-13,,1932 W. Lunt Ave.,"(42.00900097, -87.67923602)",9,10,21853,44,5
Tue,06/25/2019,Ward (A. Montgomery) Park,(312) 742-7895,Black Panther,Y,PG-13,The River North Resident's Association,630 N. Kingsbury St.,"(41.893015, -87.64125791)",55,37,4446,652,36
Thu,06/20/2019,Wilson (John P.) Park,(312) 747-7002,The LEGO Movie 2,Y,PG,,1122 W. 34th Pl.,"(41.83167213, -87.65436337)",43,58,14920,171,48
Thu,08/08/2019,Washtenaw Park,(312) 747-4420,Avengers: Infinity War,Y,PG-13,,2521 S. Washtenaw Ave.,"(41.84577829, -87.69267681)",43,32,14920,263,14
Sat,08/17/2019,Eckhart Park,(312) 746-5490,Avengers: Infinity War,Y,PG-13,Friends of Eckhart Park,1330 W. Chicago Ave.,"(41.89628864, -87.6605556)",49,25,22620,109,46
Sat,06/29/2019,Grand Crossing Park,(312) 747-6158,Smallfoot,Y,PG,,7655 S. Ingleside Ave.,"(41.75521198, -87.60149568)",61,67,21546,497,35
Tue,07/23/2019,Mann Park,(773) 646-0210,Smallfoot,Y,PG,,3035 E. 130st St.,"(41.65905937, -87.54940208)",26,52,22250,787,47
Mon,08/12/2019,South Shore Cultural Center,(773) 256-0149,Moana,Y,PG,,7059 S. South Shore Drive,"(41.76660302, -87.56632372)",24,39,22538,142,33
Thu,08/01/2019,Scottsdale Playground Park,(773) 284-1826,The Incredibles 2,Y,PG,,4637 W. 83rd St.,"(41.74191533, -87.73635951)",8,69,4300,197,30
Thu,06/20/2019,Edgebrook Park,(773) 631-7461,Aquaman,Y,PG-13,,6525 N. Hiawatha Ave.,"(41.99946016, -87.7618211)",18,12,22532,782,29
Fri,06/14/2019,Eugene Field Park,(773) 478-9744,Great Outdoors,Y,PG,,5100 N. Ridgeway Ave.,"(41.97380338, -87.72221154)",20,14,21849,127,38
Wed,07/10/2019,Kelvyn Park,(312) 742-7547,Bumble Bee,Y,PG-13,,4438 W. Wrightwood Ave.,"(41.92875053, -87.73827846)",2,21,22615,439,17
Thu,07/25/2019,Marquette Park,(312) 747-6469,Hotel Transylvania 3,Y,PG,,6743 S. Kedzie Ave.,"(41.77040513, -87.70279647)",58,64,21867,383,31
Sun,06/30/2019,Holstein Park,(312) 742-7554,The LEGO Movie 2,Y,PG,The Bucktown Community Organization,2200 N. Oakley Ave.,"(41.92206895, -87.68525593)",1,23,22535,324,40
Mon,08/26/2019,South Shore Cultural Center,(773) 256-0149,The Wiz,Y,G,,7059 S. South Shore Drive,"(41.76660302, -87.56632372)",24,39,22538,142,33
Fri,07/12/2019,Gill Park,(312) 742-7802,The Sandlot,Y,PG,,825 W. Sheridan Rd.,"(41.9526213, -87.65067083)",53,57,21186,83,39
Tue,08/06/2019,Ward (A. Montgomery) Park,(312) 742-7895,Green Book,Y,PG-13,The River North Resident's Association,630 N. Kingsbury St.,"(41.893015, -87.64125791)",55,37,4446,652,36
Mon,06/24/2019,Cotton Tail Park,(312) 747-7640,The LEGO Movie 2,Y,PG,The Greater South Loop Association,44 W. 15th St.,"(41.86203657, -87.62911255)",35,34,14913,330,9
Sun,08/11/2019,Unity Playlot Park,(773) 478-1410,Mary Poppins Returns,Y,PG,The Unity Park Advisory Council,2636 N. Kimball Ave.,"(41.92949896, -87.71237758)",1,23,22535,72,12
Mon,08/05/2019,Calumet Park,(312) 747-6039,Hairspray,Y,PG,,9801 S. Ave G,"(41.71772004, -87.53150812)",25,49,21202,705,47
Fri,06/21/2019,Osterman Beach,(312) 742-1134,French Cancan,Y,NR,The Cultural Service at the Consulate General of France,5800 N. Lake Shore Dr.,"(-87.6528859, 41.9863754)",,,,,
Fri,06/28/2019,Owens Park,(312) 747-6709,Bumble Bee,Y,PG-13,,8800 S. Clyde,"(41.73517227, -87.57339543)",25,44,21202,473,35
Mon,08/19/2019,Osterman Beach,(312) 742-1134,Moulin Rouge,Y,PG-13,,5800 N. Lake Shore Dr.,"(-87.6528859, 41.9863754)",,,,,
Fri,08/16/2019,Portage Park,(773) 685-7235,A Dog's Way Home,Y,PG,,4100 N. Long Ave.,"(41.95510787, -87.76228458)",21,15,22618,260,19
Wed,06/19/2019,Chicago History Museum,(312) 742-1134,"To Wong Foo, Thanks for Everything, Julie Newmar",Y,PG-13,The Chicago History Museum,1601 N. Clark St.,"(41.91131036, -87.63156657)",16,68,21190,271,34
Sat,07/20/2019,DuSable Museum of African American History,(312) 742-1134,Spider-Man: Into the Spider-Verse,Y,PG,The DuSable Museum of African American History,740 E. 56th Pl.,"(41.79248002, -87.60685252)",60,7,22260,401,4
Wed,06/12/2019,Brands Park,(773) 478-2414,Moana,Y,PG,,3259 N. Elston Ave.,"(41.94059875, -87.69986095)",39,22,21538,425,20
Sat,07/27/2019,Ellis (Samuel) Park,(312) 656-0423,Creed II,Y,PG-13,,535 E. 35th St.,"(41.8310921, -87.61291629)",36,1,21194,561,10
Thu,08/01/2019,Archer Park,(773) 284-7029,Bumble Bee,Y,PG-13,,4901 S.Kilbourn Ave.,"(41.80391551, -87.73556627)",56,54,22248,697,8
Thu,07/11/2019,Normandy Playground Park,(773) 229-1421,Mary Poppins Returns,Y,PG,,6660 W. 52nd St.,"(41.79785925, -87.78923279)",7,53,22268,588,8
Wed,08/21/2019,Chicago History Museum,(312) 742-1134,Singin' in the Rain,Y,G,The Chicago History Museum,1601 N. Clark St.,"(41.91131036, -87.63156657)",16,68,21190,271,34
Tue,07/16/2019,Ward (A. Montgomery) Park,(312) 742-7895,The 400 Blows,Y,NR,The Cultural Service at the Consulate General of France,630 N. Kingsbury St.,"(41.893015, -87.64125791)",55,37,4446,652,36
Tue,07/30/2019,Gage Park,(312) 747-6147,Mary Poppins Returns,Y,PG,,2411 W. 55th St.,"(41.79374925, -87.684513)",58,61,22248,112,3
Thu,06/27/2019,Vittum Park,(773) 284-6022,Ralph Breaks the Internet,Y,PG,,5010 W. 50th St.,"(41.80218518, -87.74838435)",7,53,22268,605,28
Sat,06/15/2019,Winnemac Park,(312) 742-5101,Aquaman,Y,PG-13,,5100 N. Leavitt St,"(41.97406708, -87.68437099)",20,6,21849,54,24
Fri,08/09/2019,Vittum Park,(773) 284-6022,The Incredibles 2,Y,PG,,5010 W. 50th St.,"(41.80218518, -87.74838435)",7,53,22268,605,28
Fri,08/23/2019,Fosco Park,(312) 746-5086,Creed II,Y,PG-13,,1312 S. Racine Ave,"(41.86485873, -87.65676659)",43,29,14920,96,26
Sat,07/06/2019,Walsh Playground Park,(312) 742-7769,Cleo from 5 to 7 / Cleo de 5 a 7,Y,NR,The Cultural Service at the Consulate General of France,1722 N. Ashland Ave.,"(41.91316569, -87.66790828)",4,25,21560,437,40
Tue,07/02/2019,Kells Playground Park,(312) 742-7544,Bumble Bee,Y,PG-13,,3201 W. Chicago Ave.,"(41.89544308, -87.7066155)",30,24,21572,177,46
Thu,08/15/2019,Maggie Daley Park,(312) 742-3918,Cloudy With a Chance of Meatballs,Y,PG,The Museum of Science and Industry,337 E. Randolph St.,"(41.88422161, -87.61933906)",41,38,14309,580,36
Mon,07/15/2019,Chippewa Park,(773) 731-0380,Ralph Breaks the Internet,Y,PG,Alderman Debra Silverstein,6748 N. Sacramento Ave.,"(42.00438076, -87.70475177)",12,20,22528,32,27
Mon,07/22/2019,Harold Washington Playlot Park,(312) 747-6620,Dreamgirls,Y,PG-13,,5200 S. Hyde Park Blvd.,"(41.80047033, -87.58450476)",10,8,21192,405,33
Fri,07/26/2019,Oakdale Park,(312) 747-6569,Black Panther,Y,PG-13,,965 W. 95th St.,"(41.72129198, -87.64801198)",13,72,22212,592,13
Fri,07/12/2019,Meyering Playground Park,(312) 747-6545,Night School,Y,PG-13,,7140 S. Martin Luther King Dr.,"(41.76448442, -87.61540433)",61,67,21546,474,32
Thu,07/18/2019,Commercial Club Playground,(312) 742-7558,The Incredibles 2,Y,PG,,1845 W. Rice St.,"(41.89676186, -87.67398364)",4,25,21560,462,41
