EventName, MovieName, Location , ZipCode, Phone, StartDate, EndDate, EventUrl, ParkUrl, Community, MovieClosedCaption, MovieRating,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Movies in the Parks at Paschen,The Nut Job,Paschen Park,60626,(773) 262-5871,08/19/2014 08:00:00 PM,08/19/2014 09:26:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Paschen3/,http://www.chicagoparkdistrict.com/parks/Paschen-Park/,Rogers Park,Yes,PG,"1932 W. Lunt Ave. Chicago IL 60626
Chicago, IL 60626
(42.00889969, -87.67923737)",9,10,21853,44,5,3
Movies in the Parks at South Shore,Claudine,South Shore Cultural Center,60649,(773) 256-0149,08/13/2014 08:00:00 PM,08/13/2014 09:32:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-South-Shore4/,http://www.chicagoparkdistrict.com/parks/South-Shore-Cultural-Center/,South Shore,Yes,PG,"7059 S. South Shore Dr. Chicago IL 60649
Chicago, IL 60649
(41.76674652, -87.56651306)",24,39,22538,142,33,32
@home Documentary at West Pullman,@home,West Pullman Park,60628,(312) 747-7090,06/02/2014 07:00:00 PM,06/02/2014 08:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-home-Documentary-at-West-Pullman/,http://www.chicagoparkdistrict.com/parks/West-Pullman-Park/,West Pullman,No,NR,"401 W. 123rd St. Chicago IL 60628
Chicago, IL 60628
(41.67062378, -87.63065338)",19,50,21861,7,22,45
Movies in the Parks at West Pullman,Life of Pi,West Pullman Park,60628,(312) 747-7090,07/06/2014 08:30:00 PM,07/06/2014 10:37:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-West-Pullman1/,http://www.chicagoparkdistrict.com/parks/West-Pullman-Park/,West Pullman,Yes,PG,"401 W. 123rd St. Chicago IL 60628
Chicago, IL 60628
(41.67062378, -87.63065338)",19,50,21861,7,22,45
Movies in the Parks at Austin Town Hall,The Help,Austin Town Hall Park,60644,(773) 287-7658,07/27/2014 08:30:00 PM,07/27/2014 10:56:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Austin-Town-Hall1/,http://www.chicagoparkdistrict.com/parks/Austin-Town-Hall-Park/,Austin,Yes,PG-13,"5610 W Lake St Chicago, IL 60644
Chicago, IL 60644
(41.88805771, -87.76578522)",32,26,22216,672,7,52
Movies in the Parks at Gompers,Cloudy with a Chance of Meatballs 2,Gompers Park,60630,(773) 685-3270,07/08/2014 08:30:00 PM,07/08/2014 10:04:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Gompers1/,http://www.chicagoparkdistrict.com/parks/gompers-park/,North Park,Yes,PG,"4222 W. Foster Ave. Chicago IL 60630
Chicago, IL 60630
(41.97549438, -87.73486328)",48,13,21869,748,38,28
Movies in the Parks at Columbus,Michael Jackson's This is It,Columbus Park,60644,(773) 287-7641,06/27/2014 09:00:00 PM,06/27/2014 10:41:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Columbus/,http://www.chicagoparkdistrict.com/parks/columbus-park/,Austin,Yes,PG,"500 S. Central Ave. Chicago, IL 60644
Chicago, IL 60644
(41.87285233, -87.76467896)",32,26,22216,67,7,52
Movies in the Parks at Osterman Beach,Gypsy,Kathy Osterman Beach,60660,(312) 742-5121,06/27/2014 09:00:00 PM,06/27/2014 11:29:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Osterman-Beach1/,http://www.chicagoparkdistrict.com/parks/kathy-osterman-beach/,Edgewater,No,NR,"5800 N. Lake Shore Drive, Chicago, IL 60660
Chicago, IL 60660
(41.98543743, -87.65284538)",14,76,4451,14,16,40
Movies in the Parks at Robichaux,42,Robichaux Park,60620,(312) 747-6648,06/18/2014 09:00:00 PM,06/18/2014 11:08:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Robichaux1/,http://www.chicagoparkdistrict.com/parks/Robichaux-Park/,Washington Heights,Yes,PG-13,"9247 S. Eggleston Ave. Chicago IL 60620
Chicago, IL 60620
(41.72631836, -87.63435364)",59,72,21554,631,13,18
Movies in the Parks at Eckhart,The Goonies,Eckhart Park,60642,(312) 746-5490,08/10/2014 08:00:00 PM,08/10/2014 09:51:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Eckhart/,http://www.chicagoparkdistrict.com/parks/Eckhart-Park/,West Town,Yes,PG,"1330 W. Chicago Ave. Chicago IL 60642
Chicago, IL 60642
(41.89619446, -87.66043091)",49,25,22620,109,46,41
Family Movie Night at Chopin,Gremlins,Chopin Park,60641,(773) 685-3247,06/14/2014 07:45:00 PM,06/14/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Chopin/,http://www.chicagoparkdistrict.com/parks/Chopin-Park/,Portage Park,N/A,PG,"3420 N. Long Ave. Chicago IL 60641
Chicago, IL 60641
(41.94267654, -87.76173401)",21,15,22618,361,21,25
Family Movie Night at Mayfair,The Lego Movie,Mayfair Park,60630,(773) 685-3361,08/23/2014 08:00:00 PM,08/23/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Mayfair3/,http://www.chicagoparkdistrict.com/parks/Mayfair-Park/,Irving Park,N/A,PG,"4550 W. Sunnyside Ave. Chicago IL 60630
Chicago, IL 60630
(41.96262741, -87.74201202)",48,16,21869,362,38,20
Movies in the Parks at Kenwood,Mandela: Long Walk to Freedom,Kenwood Community Park,60615,(312) 747-6286,06/26/2014 09:00:00 PM,06/26/2014 11:26:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Kenwood1/,http://www.chicagoparkdistrict.com/parks/Kenwood-Community-Park/,Kenwood,Yes,PG-13,"1330 E. 50th St. Chicago IL 60615
Chicago, IL 60615
(41.80422211, -87.59378815)",10,5,21192,356,10,1
Movies in the Parks at Blackhawk,Instructions Not Included,Blackhawk Park,60639,(312) 746-5014,08/19/2014 09:00:00 PM,08/19/2014 10:40:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Blackhawk/,http://www.chicagoparkdistrict.com/parks/Blackhawk-Park/,Belmont Cragin,Yes,PG-13,"2318 N Lavergne Ave Chicago, IL 60639
Chicago, IL 60639
(41.92288589, -87.75176239)",2,19,22615,306,44,7
Movies in the Parks at Moore,Stomp the Yard,Moore Park,60644,(773) 287-0561,08/21/2014 08:00:00 PM,08/21/2014 09:56:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Moore1/,http://www.chicagoparkdistrict.com/parks/Moore-Park/,Austin,Yes,PG-13,"5085 W. Adams St. Chicago IL 60644
Chicago, IL 60644
(41.87814331, -87.75273132)",32,26,22216,184,23,11
Family Fun Film at Touhy,The Muppet Movie,Touhy Park,60626,(773) 262-6737,07/30/2014 08:00:00 PM,07/30/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Fun-Film-at-Touhy/,http://www.chicagoparkdistrict.com/parks/Touhy-Park/,Rogers Park,N/A,G,"7348 N. Paulina St. Chicago IL 60626
Chicago, IL 60626
(42.0148735, -87.67243958)",9,10,21853,489,5,3
Movies in the Parks at Hollywood,Back to the Future,Hollywood Park,60659,(773) 478-3482,06/21/2014 09:00:00 PM,06/21/2014 10:56:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hollywood1/,http://www.chicagoparkdistrict.com/parks/Hollywood-Park/,North Park,Yes,PG,"3312 W. Thorndale Ave. Chicago IL 60659
Chicago, IL 60659
(41.98849869, -87.71220398)",50,13,4450,799,38,28
Movies in the Parks at Lake Shore,The Hunger Games: Catching Fire,Lake Shore Park,60611,(312) 742-7891,08/26/2014 08:00:00 PM,08/26/2014 10:26:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lake-Shore4/,http://www.chicagoparkdistrict.com/parks/Lake-Shore-Park/,Near North Side,Yes,PG-13,"808 N Lake Shore Dr Chicago, IL 60611
Chicago, IL 60611
(41.89749146, -87.61992645)",6,37,21182,233,11,22
Family Movie Night at Independence,Avengers,Independence Park,60618,(773) 478-3538,07/11/2014 08:30:00 PM,07/11/2014 10:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Independence3/,http://www.chicagoparkdistrict.com/parks/Independence-Park/,Irving Park,N/A,PG-13,"3945 N. Springfield Ave. Chicago IL 60618
Chicago, IL 60618
(41.95268631, -87.72504425)",39,16,21538,326,50,28
Movies in the Parks at Davis Square,Despicable Me 2,Davis Square Park,60609,(312) 747-6107 ,07/31/2014 08:30:00 PM,07/31/2014 10:08:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Davis-Square1/,http://www.chicagoparkdistrict.com/parks/Davis-Square-Park/,New City,Yes,PG,"4430 S. Marshfield Ave. Chicago IL 60609
Chicago, IL 60609
(41.81347275, -87.66633606)",37,59,14924,706,3,29
Movies in the Parks at Smith,Ghostbusters,Smith Park,60612,(312) 742-7534,07/22/2014 08:30:00 PM,07/22/2014 10:17:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Smith1/,http://www.chicagoparkdistrict.com/parks/Smith-Park/,West Town,Yes,PG,"2526 W. Grand Ave. Chicago, IL 60612
Chicago, IL 60612
(41.89163208, -87.68981934)",28,25,21184,545,49,10
Movies in the Parks at Wicker,Dr. Strangelove,Wicker Park,60622,(312) 742-7553,06/26/2014 09:00:00 PM,06/26/2014 10:37:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wicker4/,http://www.chicagoparkdistrict.com/parks/Wicker-Park/,West Town,Yes,PG,"1425 N. Damen Avenue Chicago IL 60622
Chicago, IL 60622
(41.90821838, -87.67736053)",4,25,21560,481,41,24
Movies in the Parks at Normandy,Gremlins,Normandy Playground Park,60638,(773) 229-1421,07/10/2014 08:30:00 PM,07/10/2014 10:21:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Normandy1/,http://www.chicagoparkdistrict.com/parks/Normandy-Playground-Park/,Garfield Ridge,Yes,PG,"6660 W. 52nd St. Chicago IL 60638
Chicago, IL 60638
(41.79777908, -87.78858948)",7,53,22268,588,8,35
Movies in the Parks at Bell,The Smurfs 2,Bell Park,60634,(312) 746-5008,06/19/2014 09:00:00 PM,06/19/2014 10:45:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Bell/,http://www.chicagoparkdistrict.com/parks/Bell-Park/,Montclare,Yes,PG,"3020 N Oak Park Ave Chicago, IL 60634
Chicago, IL 60634
(41.93524551, -87.79602051)",52,18,22254,397,44,39
Movies in the Parks at Dunham,Ghostbusters,Dunham Park,60630,(773) 685-3257,07/11/2014 08:30:00 PM,07/11/2014 10:17:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Dunham/,http://www.chicagoparkdistrict.com/parks/Dunham-Park/,Portage Park,Yes,PG,"4638 N. Melvina Ave. Chicago IL 60630
Chicago, IL 60630
(41.96598053, -87.78197479)",48,15,21869,95,19,25
Movies in the Parks at Rutherford Sayre,The Lego Movie,Rutherford Sayre Park,60635,(312) 746-5368,06/28/2014 09:00:00 PM,06/28/2014 10:41:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Rutherford-Sayre1/,http://www.chicagoparkdistrict.com/parks/Rutherford-Sayre-Park/,Montclare,Yes,PG,"6871 W. Belden Ave. Chicago IL 60635
Chicago, IL 60635
(41.92081833, -87.79712677)",3,18,4454,136,7,39
Movies in the Parks at Kennicott,Roll Bounce,Kennicott Park,60653,(312) 747-7138,07/26/2014 08:30:00 PM,07/26/2014 10:22:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Kennicott1/,http://www.chicagoparkdistrict.com/parks/Kennicott-Park/,Kenwood,Yes,PG-13,"4434 S. Lake Park Ave. Chicago IL 60653
Chicago, IL 60653
(41.81412125, -87.59686279)",36,5,4301,450,10,1
Family Movie Night at Dunham,Delivery Man,Dunham Park,60630,(773) 685-3257,06/13/2014 09:00:00 PM,06/13/2014 11:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-OutFamily-Movie-Night-at-Dunham/,http://www.chicagoparkdistrict.com/parks/Dunham-Park/,Portage Park,N/A,PG-13,"4638 N. Melvina Ave. Chicago IL 60630
Chicago, IL 60630
(41.96598053, -87.78197479)",48,15,21869,95,19,25
Movies in the Parks at Montgomery Ward,Captain Phillips,"Ward, A. Montgomery Park",60606,(312) 742-7895,07/19/2014 08:30:00 PM,07/19/2014 10:43:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward10/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG-13,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",55,37,4446,652,36,22
Movies in the Parks at Altgeld,Drumline,Altgeld Park,60612,(312) 746-5001,07/25/2014 08:30:00 PM,07/25/2014 10:29:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Altgeld1/,http://www.chicagoparkdistrict.com/parks/Altgeld-Park/,East Garfield Park,Yes,PG-13,"515 S. Washtenaw Ave. Chicago IL 60612
Chicago, IL 60612
(41.87475204, -87.69367981)",28,28,21184,38,23,11
Movies in the Parks at Lake Shore,Happy Feet,Lake Shore Park,60611,(312) 742-7891,06/24/2014 09:00:00 PM,06/24/2014 10:49:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lake-Shore1/,http://www.chicagoparkdistrict.com/parks/Lake-Shore-Park/,Near North Side,Yes,PG,"808 N Lake Shore Dr Chicago, IL 60611
Chicago, IL 60611
(41.89749146, -87.61992645)",6,37,21182,233,11,22
Movies in the Parks at Homan Square,Lee Daniels' The Butler,Homan Square Park,60624,(312) 746-6650,06/22/2014 09:00:00 PM,06/22/2014 11:12:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Homan-Square/,http://www.chicagoparkdistrict.com/parks/homan-square-park/,North Lawndale,Yes,PG-13,"3559 W. Arthington St. Chicago IL 60624
Chicago, IL 60624
(41.86931992, -87.71344757)",30,30,21572,98,14,36
Movies in the Parks at Fosco,Mandela: Long Walk to Freedom,Fosco Park,60608,(312) 746-5086,07/18/2014 08:30:00 PM,07/18/2014 10:56:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Fosco1/,http://www.chicagoparkdistrict.com/parks/fosco-park/,Near West Side,Yes,PG-13,"1312 S. Racine Ave, Chicago IL 60608
Chicago, IL 60608
(41.86500168, -87.6566391)",43,29,14920,760,26,48
Movies in the Parks at Woodhull,The Wiz ,Woodhull Playground Park,60649,(773) 256-1903,07/02/2014 08:30:00 PM,07/02/2014 10:43:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Woodhull1/,http://www.chicagoparkdistrict.com/parks/Woodhull-Playground-Park/,South Shore,No,G,"7340 S. East End Ave. Chicago IL 60649
Chicago, IL 60649
(41.76167679, -87.58354187)",24,39,22538,419,35,9
Movies in the Parks at Haas,Cloudy with a Chance of Meatballs 2,Haas Park,60647,(312) 742-7552 ,06/27/2014 09:00:00 PM,06/27/2014 10:34:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Haas1/,http://www.chicagoparkdistrict.com/parks/Haas-Park/,Logan Square,Yes,PG,"2402 N. Washtenaw Ave. Chicago IL 60647
Chicago, IL 60647
(41.92488861, -87.69497681)",1,23,22535,468,41,24
Movies in the Parks at Senka,Mr. Peabody & Sherman,Senka Park,60629,(312) 747-4386,08/03/2014 08:00:00 PM,08/03/2014 09:32:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Senka/,http://www.chicagoparkdistrict.com/parks/Senka-Park/,Gage Park,Yes,PG,"5656 S. St. Louis Ave. Chicago IL 60629
Chicago, IL 60629
(41.79055023, -87.71083069)",58,61,21867,801,8,49
Movies in the Parks at Calumet,Buck and the Preacher,Calumet Park,60617,(312) 747-6039,07/21/2014 08:30:00 PM,07/21/2014 10:12:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Calumet4/,http://www.chicagoparkdistrict.com/parks/Calumet-Park/,East Side,Yes,PG,"9801 S Avenue G Chicago, IL 60617
Chicago, IL 60617
(41.71755765, -87.53148079)",25,49,21202,705,47,47
Movies in the Parks at Moran,42,Moran Playground Park,60621,(312) 747-6560,07/02/2014 08:30:00 PM,07/02/2014 10:38:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Moran/,http://www.chicagoparkdistrict.com/parks/Moran-Playground-Park/,Englewood,Yes,PG-13,"5727 S. Racine Ave. Chicago IL 60621
Chicago, IL 60621
(41.79003906, -87.65474701)",11,66,22257,409,2,19
Movies in the Parks at Piotrowski,The Hunger Games: Catching Fire,Piotrowski Park,60623,(312) 747-6608 ,08/06/2014 08:00:00 PM,08/06/2014 10:26:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Piotrowski2/,http://www.chicagoparkdistrict.com/parks/Piotrowski-Park/,South Lawndale,Yes,PG-13,"4247 W. 31st St. Chicago IL 60623
Chicago, IL 60623
(41.8367424, -87.730896)",57,32,21569,200,28,14
Movies in the Parks at Dunbar,Lee Daniels' The Butler,Dunbar Park,60616,(312) 747-5962,06/19/2014 09:00:00 PM,06/19/2014 11:12:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Dunbar2/,http://www.chicagoparkdistrict.com/parks/Dunbar-Park/,Douglas,Yes,PG-13,"300 E. 31st St. Chicago IL 60616
Chicago, IL 60616
(41.83839417, -87.62062836)",40,1,21194,191,10,48
Movies in the Parks at Loyola,Captain Phillips,Loyola Park,60626,(773) 262-8605,07/19/2014 08:30:00 PM,07/19/2014 10:43:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Loyola2/,http://www.chicagoparkdistrict.com/parks/Loyola-Park/,"Rogers Park, Grand Boulevard",Yes,PG-13,"1230 W. Greenleaf Ave. Chicago IL 60626
Chicago, IL 60626
(42.01041412, -87.66117859)",9,10,21853,267,5,3
Family Movie Night at Portage,Frozen,Portage Park,60641,(773) 685-7235,07/09/2014 08:00:00 PM,07/09/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-OutFamily-Movie-Night-at-Portage1/,http://www.chicagoparkdistrict.com/parks/Portage-Park/,Portage Park,N/A,PG,"4100 N Long Ave Chicago, IL 60641
Chicago, IL 60641
(41.95508957, -87.76216125)",21,15,22618,260,19,25
Movies in the Parks at Humboldt,The Benchwarmers,Humboldt Park,60622,(312) 742-7549,08/22/2014 08:00:00 PM,08/22/2014 09:20:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Humboldt3/,http://www.chicagoparkdistrict.com/parks/humboldtpark/,West Town,Yes,PG-13,"1440 N Humboldt Dr Chicago, IL 60622
Chicago, IL 60622
(41.90572739, -87.7037735)",4,25,21560,301,49,10
Family Movie Night at Norwood,Free Birds,Norwood Park,60631,(773) 631-4893,08/15/2014 08:00:00 PM,08/15/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Norwood/,http://www.chicagoparkdistrict.com/parks/Norwood-Park/,Norwood Park,N/A,PG,"5801 N. Natoma Ave. Chicago IL 60631
Chicago, IL 60631
(41.98659134, -87.79413605)",17,36,22243,733,29,34
Movies in the Parks at Hayes,Happy Feet,Hayes Park,60652,(312) 747-6177,07/09/2014 08:30:00 PM,07/09/2014 10:19:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hayes1/,http://www.chicagoparkdistrict.com/parks/Hayes-Park/,Ashburn,Yes,PG,"2936 W. 85th St. Chicago IL 60652
Chicago, IL 60652
(41.73907852, -87.69678497)",8,69,4300,217,30,6
Movies in the Parks at Hermosa,Latino Film Festival Selection,Hermosa Park,60639,(312) 742-7540 ,07/30/2014 09:00:00 PM,07/30/2014 10:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hermosa3/,http://www.chicagoparkdistrict.com/parks/Hermosa-Park/,Hermosa,No,NR,"2240 N. Kilbourn Ave. Chicago IL 60639
Chicago, IL 60639
(41.92153931, -87.73892212)",2,21,22615,75,44,7
Movies in the Parks at Brooks,The Smurfs 2 ,Brooks Park,60631,(773) 631-4401,07/18/2014 08:30:00 PM,07/18/2014 10:15:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Brooks1/,http://www.chicagoparkdistrict.com/parks/Brooks-Park/,Edison Park,Yes,PG,"7100 N Harlem Ave Chicago, IL 60631
Chicago, IL 60631
(42.01028061, -87.8066864)",17,77,22243,654,29,34
Movies in the Parks at Harrison,Latino Film Festival Selection,Harrison Park,60608,(312) 746-5491,08/13/2014 08:30:00 PM,08/13/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Harrison4/,http://www.chicagoparkdistrict.com/parks/Harrison-Park/,Lower West Side,No,NR,"1824 S. Wood St. Chicago IL 60608
Chicago, IL 60608
(41.85699081, -87.67106628)",43,33,14920,343,26,8
Movies in the Parks at Trebes,Cloudy With a Chance of Meatballs 2,Trebes Park,60614,(312) 742-7769,08/05/2014 08:00:00 PM,08/05/2014 09:34:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Trebes/,http://www.chicagoparkdistrict.com/parks/Trebes-Park/,Lincoln Park,Yes,PG,"2250 N. Clifton Ave. Chicago IL 60614
Chicago, IL 60614
(41.92298889, -87.65727234)",16,68,21190,797,34,16
Movies in the Parks at Ellis,Gravity ,Ellis (Samuel) Park,60653,(312) 656 - 0423 ,06/21/2014 09:00:00 PM,06/21/2014 10:31:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Ellis2/,http://www.chicagoparkdistrict.com/parks/ellis-samuel-park/,Douglas,Yes,PG-13,"535 E. 35th St. Chicago IL 60653
Chicago, IL 60653
(41.82777786, -87.60858154)",36,2,4301,221,10,1
Movies in the Parks at Wentworth,Jurassic Park,Wentworth Park,60638,(312) 747-6993,07/01/2014 08:30:00 PM,07/01/2014 10:37:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wentworth1/,http://www.chicagoparkdistrict.com/parks/Wentworth-Park/,Garfield Ridge,Yes,PG-13,"5625 S. Mobile Ave. Chicago IL 60638
Chicago, IL 60638
(41.79042816, -87.77915955)",7,53,22268,590,15,35
@home Documentary at Lake Shore,@home,Lake Shore Park,60611,(312) 742-7891,06/05/2014 07:00:00 PM,06/05/2014 08:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-home-Documentary-at-Lake-Shore/,http://www.chicagoparkdistrict.com/parks/Lake-Shore-Park/,Near North Side,No,NR,"808 N Lake Shore Dr Chicago, IL 60611
Chicago, IL 60611
(41.89749146, -87.61992645)",6,37,21182,233,11,22
Movies in the Parks at Palmer,The Great Gatsby (2013),Palmer Park,60628,(312) 747-6577,08/24/2014 08:00:00 PM,08/24/2014 10:23:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Palmer1/,http://www.chicagoparkdistrict.com/parks/Palmer-Park/,Roseland,Yes,PG-13,"201 E 111th St Chicago, IL 60628
Chicago, IL 60628
(41.69263077, -87.61819458)",19,45,21861,253,43,30
Movies in the Parks at Lake Shore,The Lego Movie,Lake Shore Park,60611,(312) 742-7891,08/18/2014 08:00:00 PM,08/18/2014 09:41:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lake-Shore3/,http://www.chicagoparkdistrict.com/parks/Lake-Shore-Park/,Near North Side,Yes,PG,"808 N Lake Shore Dr Chicago, IL 60611
Chicago, IL 60611
(41.89749146, -87.61992645)",6,37,21182,233,11,22
Family Movie Night at Independence,Lego Movie,Independence Park,60618,(773) 478-3538,08/08/2014 08:00:00 PM,08/08/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Independence4/,http://www.chicagoparkdistrict.com/parks/Independence-Park/,Irving Park,N/A,PG,"3945 N. Springfield Ave. Chicago IL 60618
Chicago, IL 60618
(41.95268631, -87.72504425)",39,16,21538,326,50,28
Family Movie Night at Independence,Frozen,Independence Park,60618,(773) 478-3538,06/13/2014 08:30:00 PM,06/13/2014 10:30:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Independence2/,http://www.chicagoparkdistrict.com/parks/Independence-Park/,Irving Park,N/A,PG,"3945 N. Springfield Ave. Chicago IL 60618
Chicago, IL 60618
(41.95268631, -87.72504425)",39,16,21538,326,50,28
Movies in the Parks at Jackson,Rebel Without a Cause,Jackson Park,60637,(773) 256.0903 ,07/28/2014 08:30:00 PM,07/28/2014 10:25:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-63rd-Street1/,http://www.chicagoparkdistrict.com/parks/jackson-park/,Hyde Park,Yes,PG-13,"6401 S Stony Island Ave Chicago, IL 60637
Chicago, IL 60637
(41.77771378, -87.58693695)",60,9,22260,134,33,32
Family Movie Night at Palmer,The Family That Preys,Palmer Park,60628,(312) 747-6577,07/17/2014 08:00:00 PM,07/17/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Family-Movie-Night-at-Palmer/,http://www.chicagoparkdistrict.com/parks/Palmer-Park/,Roseland,No,PG-13,"201 E 111th St Chicago, IL 60628
Chicago, IL 60628
(41.69263077, -87.61819458)",19,45,21861,253,43,30
Movies in the Parks at Kilbourn,Latino Film Festival Selection,Kilbourn Park,60641,(773) 685-3351,07/23/2014 08:30:00 PM,07/23/2014 10:00:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Kilbourn1/,http://www.chicagoparkdistrict.com/parks/Kilbourn-Park/,Irving Park,No,NR,"3501 N. Kilbourn Ave. Chicago IL 60641
Chicago, IL 60641
(41.94442749, -87.73962402)",21,16,22618,328,21,27
Movies in the Parks at Bartelme,Dirty Dancing,"Bartelme, Mary Park",60607,(312) 746-5494 ,06/25/2014 09:00:00 PM,06/25/2014 10:37:00 PM,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Bartelme1/,http://www.chicagoparkdistrict.com/parks/Bartelme-Mary-Park/,Near West Side,Yes,PG-13,"115 S Sangamon St Chicago, IL 60607
Chicago, IL 60607
(41.88024521, -87.65080261)",44,29,14917,91,26,48
