 EventName , MovieName,ParkName, ZipCode, Phone, StartDate, EndDate, ContactName, ContactEmail, EventUrl, ParkUrl, Community, MovieClosedCaption, MovieRating,Location 1,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
Night Out: Movies in the Parks at Garfield Conserv,Ferngully: The Last Rainforest,Garfield Park Conservatory,60624,(773) 638-1766,09/02/2015 08:00:00 PM,09/02/2015 09:12:00 PM,Mary Eysenbach,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Garfield-Conserv1/,http://www.chicagoparkdistrict.com/parks/garfield-park-conservatory/,East Garfield Park,Yes,G,"300 N Central Park Ave Chicago, IL 60624
Chicago, IL 60624
(41.88751984, -87.71611023)",30,28,21572,176,23,11
Night Out: Movies in the Parks at Edgebrook,The Goonies,Edgebrook Park,60646,(773) 631-7461,08/08/2015 08:00:00 PM,08/08/2015 09:54:00 PM,Marc Hebert,marc.hebert@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Edgebrook/,http://www.chicagoparkdistrict.com/parks/Edgebrook-Park/,Forest Glen,Yes,PG,"6525 N. Hiawatha Ave. Chicago IL 60646
Chicago, IL 60646
(41.99946594, -87.76202393)",18,12,22532,782,29,34
Night Out: Movies in the Parks at DuSable Museum,Annie (2014),Washington Park,60637,(773) 256-1248,06/20/2015 08:30:00 PM,06/20/2015 10:28:00 PM,Janie M. Collins,janie.collins@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-DuSable-Museum4/,http://www.chicagoparkdistrict.com/parks/washington-park/,Washington Park,Yes,PG,"5531 S. Martin Luther King Dr. Chicago, IL 60637
Chicago, IL 60637
(41.79378891, -87.61591339)",60,7,22260,401,4,53
Night Out: Movies in the Parks at Broncho Billy,Space Jam,Broncho Billy Playlot Park,60640,(312) 742-7802 ,06/04/2015 08:30:00 PM,06/04/2015 10:00:00 PM,Robert Geraghty  (Gill Park),robert.geraghty@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Broncho-Billy/,http://www.chicagoparkdistrict.com/parks/Broncho-Billy-Playlot-Park/,Uptown,N/A,PG,"4437 N Magnolia Ave Chicago, IL 60640
Chicago, IL 60640
(41.96285248, -87.66093445)",15,31,22616,611,39,37
Night Out: Movies in the Parks at Berger,Who Framed Roger Rabbit,Berger Park Cultural Center,60660,(773) 761-0376,08/29/2015 08:00:00 PM,08/29/2015 09:44:00 PM,"Justin ""J.D."" Ostergaard",,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Berger2/,http://www.chicagoparkdistrict.com/parks/Berger-Park-Cultural-Center/,Edgewater,Yes,PG,"6205 N Sheridan Rd Chicago, IL 60660
Chicago, IL 60660
(41.99475861, -87.65554047)",14,76,4451,45,16,40
Night Out: Movies in the Parks at Independence,Grease [sing-a-long],Independence Park,60618,(773) 478-3538,08/14/2015 08:00:00 PM,08/14/2015 10:00:00 PM,Julie Thompson,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Independence3/,http://www.chicagoparkdistrict.com/parks/Independence-Park/,Irving Park,N/A,PG-13,"3945 N. Springfield Ave. Chicago IL 60618
Chicago, IL 60618
(41.95268631, -87.72504425)",39,16,21538,326,50,28
Night Out: Movies in the Parks at Emmerson,Dolphin Tale 2,Emmerson Park,60660,(773) 761-0433,07/25/2015 08:30:00 PM,07/25/2015 10:17:00 PM,Moseth Sample,moseth.sample@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Emmerson2/,http://www.chicagoparkdistrict.com/parks/Emmerson-Park/,West Ridge,Yes,PG,"1820 W. Granville Ave. Chicago IL 60660
Chicago, IL 60660
(41.99436951, -87.67577362)",14,20,4451,43,24,42
Night Out: Movies in the Parks at Austin Town Hall,42,Austin Town Hall Park,60644,(773) 287-7658,08/06/2015 08:00:00 PM,08/06/2015 10:08:00 PM,Tebrena Howard ,tebrena.howard@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Austin-Town-Hall2/,http://www.chicagoparkdistrict.com/parks/Austin-Town-Hall-Park/,Austin,Yes,PG-13,"5610 W Lake St Chicago, IL 60644
Chicago, IL 60644
(41.88805771, -87.76578522)",32,26,22216,672,7,52
Night Out: Movies in the Parks at Montgomery Ward,Into the Woods,"Ward, A. Montgomery Park",60606,(312) 742-7895,06/23/2015 08:30:00 PM,06/23/2015 10:35:00 PM,Joyce Freeman-Herron,joyce.herron@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward15/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",55,37,4446,652,36,22
Night Out: Movies in the Parks at Montgomery Ward,Unbroken,"Ward, A. Montgomery Park",60606,(312) 742-7895,06/16/2015 08:30:00 PM,06/16/2015 10:47:00 PM,Joyce Freeman-Herron,joyce.herron@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Montgomery-Ward14/,http://www.chicagoparkdistrict.com/parks/Ward-A-Montgomery-Park/,Near North Side,Yes,PG-13,"630 N. Kingsbury St. Chicago IL 60606
Chicago, IL 60606
(41.89364243, -87.64193726)",55,37,4446,652,36,22
Night Out: Movies in the Parks at Garfield,Ghostbusters,Garfield Park,60624,(312) 746-5092,07/31/2015 08:30:00 PM,07/31/2015 10:15:00 PM,Jim Hobson,james.hobson@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Garfield1/,http://www.chicagoparkdistrict.com/parks/Garfield-Park/,East Garfield Park,Yes,PG,"100 N Central Park Ave Chicago, IL 60624
Chicago, IL 60624
(41.88142014, -87.71589661)",30,28,21572,704,23,11
Night Out: Movies in the Parks at Holstein,Big Hero 6,Holstein Park,60647,(312) 742-7554 ,08/23/2015 08:00:00 PM,08/23/2015 09:42:00 PM,Shannon English,shannon.english@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Holstein8/,http://www.chicagoparkdistrict.com/parks/Holstein-Park/,Logan Square,Yes,PG,"2200 N. Oakley Ave. Chicago IL 60647
Chicago, IL 60647
(41.9219017, -87.68556213)",1,23,22535,324,40,16
Night Out: Movies in the Parks at Tuley,Dawn of the Planet of the Apes,Tuley Park,60619,(312) 747-6763,08/20/2015 08:00:00 PM,08/20/2015 10:10:00 PM,Donna Jones,Donna.Jones@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Tuley2/,http://www.chicagoparkdistrict.com/parks/Tuley-Park/,Chatham,Yes,PG-13,"501 E. 90th Pl. Chicago IL 60619
Chicago, IL 60619
(41.73011017, -87.61437988)",61,40,21546,428,43,31
Night Out: Movies in the Parks at Hamilton,Annie (2014),Hamilton Park,60621,(312) 747-6174,07/10/2015 08:30:00 PM,07/10/2015 10:28:00 PM,Michael Lindsey,michael.lindsey@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Hamilton2/,http://www.chicagoparkdistrict.com/parks/Hamilton-Park/,Englewood,Yes,PG,"513 W. 72nd St. Chicago IL 60621
Chicago, IL 60621
(41.76344299, -87.63769531)",11,66,21559,511,32,17
Night Out: Movies in the Parks at Webster,The Princess Bride,Daniel Webster Park,60605,(312) 257-4486,08/11/2015 08:00:00 PM,08/11/2015 09:38:00 PM,Sarah Unz   (Chicago Women's),sarah.unz@chicagopakdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Webster3/,http://www.chicagoparkdistrict.com/parks/daniel-webster-park/,Near South Side,Yes,PG,"1401 S Indiana Ave Chicago, IL 60605
Chicago, IL 60605
(41.86395645, -87.62201691)",35,34,14913,374,9,48
Night Out: Movies in the Parks at Mayfair,The Princess Bride,Mayfair Park,60630,(773) 685-3361,06/26/2015 08:30:00 PM,06/26/2015 10:30:00 PM,Maria McDorman,maria.mcdorman@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Mayfair/,http://www.chicagoparkdistrict.com/parks/Mayfair-Park/,Irving Park,N/A,PG,"4550 W. Sunnyside Ave. Chicago IL 60630
Chicago, IL 60630
(41.96262741, -87.74201202)",48,16,21869,362,38,20
Night Out: Movies in the Parks at Kilbourn,Finding Nemo,Kilbourn Park,60641,(773) 685-3351,08/25/2015 08:30:00 PM,08/25/2015 10:17:00 PM,Matt Fontana,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Kilbourn4/,http://www.chicagoparkdistrict.com/parks/Kilbourn-Park/,Irving Park,N/A,G,"3501 N. Kilbourn Ave. Chicago IL 60641
Chicago, IL 60641
(41.94442749, -87.73962402)",21,16,22618,328,21,27
Night Out: Movies in the Parks at Armstrong,The Single Moms Club,Armstrong Park,60653,(312) 747-7138 ,07/18/2015 08:30:00 PM,07/18/2015 10:21:00 PM,Renee Shepherd  (Kennicott Park),renee.shepherd@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Armstrong/,http://www.chicagoparkdistrict.com/parks/Armstrong-Park/,Grand Boulevard,Yes,PG-13,"4433 S St Lawrence Ave Chicago, IL 60653
Chicago, IL 60653
(41.81406021, -87.61099243)",36,4,4301,161,9,12
Night Out: Movies in the Parks at Oriole,Dolphin Tale 2,Oriole Park,60656,(773) 631-6197,07/08/2015 08:30:00 PM,07/08/2015 10:17:00 PM,Frank Clark,frances.clark@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Oriole1/,http://www.chicagoparkdistrict.com/parks/Oriole-Park/,Norwood Park,Yes,PG,"5430 N. Olcott Ave. Chicago IL 60656
Chicago, IL 60656
(41.97828293, -87.81445313)",31,36,4448,735,29,34
Night Out: Movies in the Parks at Mayfair,Big Hero 6,Mayfair Park,60630,(773) 685-3361,08/21/2015 08:00:00 PM,08/21/2015 10:00:00 PM,Maria McDorman,maria.mcdorman@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Mayfair2/,http://www.chicagoparkdistrict.com/parks/Mayfair-Park/,Irving Park,N/A,PG,"4550 W. Sunnyside Ave. Chicago IL 60630
Chicago, IL 60630
(41.96262741, -87.74201202)",48,16,21869,362,38,20
Night Out: Movies in the Parks at River,The Lego Movie,River Park,60611,(312) 742-7516,08/04/2015 08:00:00 PM,08/04/2015 09:40:00 PM,Vera Onate,vera.onate@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-River1/,http://www.chicagoparkdistrict.com/parks/River-Park/,Lincoln Square,Yes,PG,"5100 N. Francisco Ave. Chicago IL 60611
Chicago, IL 60611
(41.97340012, -87.70230865)",20,6,21849,620,24,46
Night Out: Movies in the Parks at Armour Square,The Wizard of Oz,Armour Square Park,60616,(312) 747-6012,06/12/2015 08:30:00 PM,06/12/2015 10:11:00 PM,Mary Lu Scorza,marylu.scorza@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Armour-Square3/,http://www.chicagoparkdistrict.com/parks/Armour-Square-Park/,Armour Square,Yes,G,"3309 S Shields Ave Chicago, IL 60616
Chicago, IL 60616
(41.83438492, -87.63520813)",40,35,21194,376,48,26
Night Out: Movies in the Parks at Sumner,Annie (2014),Sumner Park,60624,(312) 746-5394 ,06/25/2015 08:30:00 PM,06/25/2015 10:28:00 PM,Deon Powell,deon.powell@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Sumner1/,http://www.chicagoparkdistrict.com/parks/sumner-park/,North Lawndale,Yes,PG,"4320 W 5th Ave Chicago, IL 60624
Chicago, IL 60624
(41.87060928, -87.73418427)",30,27,21572,703,14,36
Night Out: Movies in the Parks at Harrison,A Latino Film Festival Selection,Harrison Park,60608,(312) 746-5491,08/12/2015 08:00:00 PM,08/12/2015 10:00:00 PM,Tony Gonzales,tony.gonzales@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Harrison6/,http://www.chicagoparkdistrict.com/parks/Harrison-Park/,Lower West Side,Yes,NR,"1824 S. Wood St. Chicago IL 60608
Chicago, IL 60608
(41.85699081, -87.67106628)",43,33,14920,343,26,8
Night Out: Movies in the Parks at Jackson,To Kill a Mockingbird,Jackson Park,60637,(773) 256.0903 ,08/03/2015 08:00:00 PM,08/03/2015 10:09:00 PM,Bobbie Beckam,bobbie.beckam@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Jackson2/,http://www.chicagoparkdistrict.com/parks/jackson-park/,Hyde Park,Yes,NR,"6401 S Stony Island Ave Chicago, IL 60637
Chicago, IL 60637
(41.77771378, -87.58693695)",60,9,22260,134,33,32
Night Out: Movies in the Parks at Holstein,Jurassic Park,Holstein Park,60647,(312) 742-7554 ,06/14/2015 08:30:00 PM,06/14/2015 10:37:00 PM,Shannon English,shannon.english@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Holstein5/,http://www.chicagoparkdistrict.com/parks/Holstein-Park/,Logan Square,,,"2200 N. Oakley Ave. Chicago IL 60647
Chicago, IL 60647
(41.9219017, -87.68556213)",1,23,22535,324,40,16
Night Out: Movies in the Parks at Oz,Casablanca,Oz Park,60614,(312) 742-7898,07/11/2015 08:30:00 PM,07/11/2015 10:12:00 PM,Adele Bach,adele.bach@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Oz8/,http://www.chicagoparkdistrict.com/parks/Oz-Park/,Lincoln Park,Yes,PG,"2021 N. Burling St. Chicago IL 60614
Chicago, IL 60614
(41.92099187, -87.64469862)",16,68,21190,798,34,51
Night Out: Movies in the Parks at Golden Gate,The Avengers,Golden Gate Park,60627,(312) 747-6047 ,08/28/2015 08:00:00 PM,08/28/2015 10:23:00 PM,Carver Park,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Golden-Gate2/,http://www.chicagoparkdistrict.com/parks/Golden-Gate-Park/,Riverdale,Yes,PG-13,"13000 S. Eberhart Ave. Chicago IL 60627
Chicago, IL 60627
(41.65910339, -87.61064911)",47,51,4460,9,43,30
Night Out: Movies in the Parks at Columbus,Step Up All In,Columbus Park,60644,(773) 287-7641,06/27/2015 08:30:00 PM,06/27/2015 10:22:00 PM,Jeanette Stovall ,jeanette.stovall@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Columbus1/,http://www.chicagoparkdistrict.com/parks/columbus-park/,Austin,Yes,PG-13,"500 S. Central Ave. Chicago, IL 60644
Chicago, IL 60644
(41.87285233, -87.76467896)",32,26,22216,67,7,52
Night Out: Movies in the Parks at Bosley,Back to the Future,Bosley Playground Park,60608,(312) 747-6026,08/15/2015 08:00:00 PM,08/15/2015 09:56:00 PM,Briana Gaitan,briana.gaitan@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Bosley2/,http://www.chicagoparkdistrict.com/parks/Bosley-Playground-Park/,Bridgeport,Yes,PG,"3044 S Bonfield St Chicago, IL 60608
Chicago, IL 60608
(41.83930206, -87.65362549)",43,58,14920,722,48,26
Night Out: Movies in the Parks at Skinner,Annie (2014),Skinner Park,60607,(312) 746-5560,07/07/2015 08:30:00 PM,07/07/2015 10:28:00 PM,John Ball,john.ball@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Skinner2/,http://www.chicagoparkdistrict.com/parks/skinner-park/,Near West Side,Yes,PG,"1331 W Monroe St Chicago IL 60607
Chicago, IL 60607
(41.88011364, -87.66196489)",44,29,14917,91,46,48
Night Out: Movies in the Parks at Lindblom,Dumb & Dumber To,Lindblom Park,60636,(312) 747-6443,07/17/2015 08:30:00 PM,07/17/2015 10:44:00 PM,Maceo Johnson,maceo.johnson@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Lindblom1/,http://www.chicagoparkdistrict.com/parks/Lindblom-Park/,"Englewood, West Englewood",Yes,PG-13,"6054 S. Damen Ave. Chicago IL 60636
Chicago, IL 60636
(41.78319931, -87.6741333)",23,65,22257,274,2,44
Night Out: Movies in the Parks at Union,How to Train Your Dragon 2,Union Park,60607,(312) 746-5494,07/29/2015 08:30:00 PM,07/29/2015 10:12:00 PM,Tony Fitzgerald,tony.fitzgerald@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Union1/,http://www.chicagoparkdistrict.com/parks/Union-Park/,Near West Side,Yes,PG,"1501 W. Randolph St. Chicago IL 60607
Chicago, IL 60607
(41.88421249, -87.66551971)",44,29,14917,63,46,41
Night Out: Movies in the Parks at Commercial Club,Big Hero 6,Commercial Club Playground,60622,(312) 742-7558,07/23/2015 08:30:00 PM,07/23/2015 10:12:00 PM,Shandrel Young,shandrel.young@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Commercial-Club/,http://www.chicagoparkdistrict.com/parks/Commercial-Club-Playground/,West Town,Yes,PG,"1845 W. Rice St. Chicago IL 60622
Chicago, IL 60622
(41.89686584, -87.67324829)",4,25,21560,462,41,24
Night Out: Movies in the Parks at Oz,The Sandlot 2,Oz Park,60614,(312) 742-7898,06/13/2015 08:30:00 PM,06/13/2015 10:07:00 PM,Adele Bach,adele.bach@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Oz7/,http://www.chicagoparkdistrict.com/parks/Oz-Park/,Lincoln Park,Yes,PG,"2021 N. Burling St. Chicago IL 60614
Chicago, IL 60614
(41.92099187, -87.64469862)",16,68,21190,798,34,51
Night Out: Movies in the Parks at Touhy,Frozen,Touhy Park,60626,(773) 262-6737,08/07/2015 08:15:00 PM,08/07/2015 10:00:00 PM,Jeff Jaski,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Touhy1/,http://www.chicagoparkdistrict.com/parks/Touhy-Park/,Rogers Park,N/A,PG,"7348 N. Paulina St. Chicago IL 60626
Chicago, IL 60626
(42.0148735, -87.67243958)",9,10,21853,489,5,3
Night Out: Movies in the Parks at Athletic Field,The Lego Movie,Athletic Field Park,60618,(773) 478-2889,06/26/2015 08:15:00 PM,06/26/2015 09:55:00 PM,Gualberto Roldan,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Athletic-Field/,http://www.chicagoparkdistrict.com/parks/Athletic-Field-Park/,Irving Park,N/A,PG,"3546 W Addison St Chicago, IL 60618
Chicago, IL 60618
(41.94668198, -87.71703339)",39,16,21538,325,12,15
Night Out: Movies in the Parks at Maplewood,The Boxtrolls,Maplewood Playlot Park,60647,(312) 742-0041 ,06/18/2015 08:30:00 PM,06/18/2015 10:06:00 PM,Samantha Jayne,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Maplewood1/,http://www.chicagoparkdistrict.com/parks/Maplewood-Playlot-Park/,West Town,Yes,PG,"1640 N.Maplewood Ave. Chicago IL 60647
Chicago, IL 60647
(41.9112854, -87.69094086)",1,25,22535,287,41,24
Night Out: Movies in the Parks at Wentworth Gdns,Annie (2014),Wentworth Gardens Park,60609,(312) 747-6996,08/03/2015 08:00:00 PM,08/03/2015 09:58:00 PM,Drennon Jones,drennon.jones@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wentworth-Gdns/,http://www.chicagoparkdistrict.com/parks/Wentworth-Gardens-Park/,Armour Square,Yes,PG,"3770 S. Wentworth Ave. Chicago IL 60609
Chicago, IL 60609
(41.82579803, -87.6313858)",37,35,14924,296,9,12
Night Out: Movies in the Parks at Cole,The Amazing Spider-Man,Nat King Cole Park,60619,(312) 747-6063,07/06/2015 08:30:00 PM,07/06/2015 10:46:00 PM,Gene Morgan,Gene.Morgan@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Cole2/,http://www.chicagoparkdistrict.com/parks/Nat-King-Cole-Park/,Chatham,Yes,PG-13,"361 E. 85th St. Chicago IL 60619
Chicago, IL 60619
(41.74013519, -87.61564636)",61,40,21546,406,32,31
Night Out: Movies in the Parks at Chicago Women's,The Incredibles,Chicago Women's Park and Gardens,60616,(312) 328-0821,08/27/2015 08:00:00 PM,08/27/2015 09:55:00 PM,Sarah Unz,sarah.unz@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chicago-Womens4/,http://www.chicagoparkdistrict.com/parks/Chicago-Womens-Park-and-Gardens/,Near South Side,No,PG,"1801 S Indiana Ave Chicago, IL 60616
Chicago, IL 60616
(41.85781097, -87.62203979)",40,34,21194,374,9,48
Night Out: Movies in the Parks at Grand Crossing,Get On Up,Grand Crossing Park,60619,(312) 747-6158,07/21/2015 08:30:00 PM,07/21/2015 10:49:00 PM,Ron Wright ,Ronald.Wright@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Grand-Crossing2/,http://www.chicagoparkdistrict.com/parks/Grand-Crossing-Park/,Greater Grand Crossing,Yes,PG-13,"7655 S. Ingleside Ave. Chicago IL 60619
Chicago, IL 60619
(41.75580215, -87.60163116)",61,67,21546,497,35,9
Night Out: Movies in the Parks at Wicker,Jumanji,Wicker Park,60622,(312) 742-7553,08/20/2015 08:00:00 PM,08/20/2015 09:44:00 PM,"Claribel ""Clare"" Rodriguez",claribel.rodriguez@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Wicker10/,http://www.chicagoparkdistrict.com/parks/Wicker-Park/,West Town,Yes,PG,"1425 N. Damen Avenue Chicago IL 60622
Chicago, IL 60622
(41.90821838, -87.67736053)",4,25,21560,481,41,24
Night Out: Movies in the Parks at Jesse White,The Boxtrolls,Jesse White Community Center and Fieldhouse,,  ,07/20/2015 08:30:00 PM,07/20/2015 10:06:00 PM,Lorrie Cardwell ,lorrie.cardwell@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Jesse-White1/,http://www.chicagoparkdistrict.com/parks/jesse-white-community-center-and-fieldhouse/,Near North Side,Yes,PG,"Chicago, IL
(41.89670305, -87.639184)",54,37,14926,652,46,41
Night Out: Movies in the Parks at Schreiber,Dr. Seuss' How the Grinch Stole Christmas,Schreiber Playground Park,60626,(773) 262-6741,08/08/2015 08:30:00 PM,08/08/2015 10:14:00 PM,Venus Delacruz,venus.delacruz@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Schreiber/,http://www.chicagoparkdistrict.com/parks/Schreiber-Playground-Park/,Rogers Park,No,PG,"1552 W. Schreiber Ave. Chicago IL 60626
Chicago, IL 60626
(41.99901581, -87.66928101)",9,10,21853,242,24,46
Night Out: Movies in the Parks at Donovan,E.T. The Extra-Terrestrial,Donovan Playground Park,60609,(312) 747-6111,07/22/2015 08:30:00 PM,07/22/2015 10:25:00 PM,Rebecca Koenig,rebecca.koenig@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Donovan1/,http://www.chicagoparkdistrict.com/parks/Donovan-Playground-Park/,Bridgeport,Yes,PG,"3620 S.Lituanica Ave. Chicago IL 60609
Chicago, IL 60609
(41.82843781, -87.64769745)",37,58,14924,172,48,26
Night Out: Movies in the Parks at Rainey,The Lego Movie,Rainey Park,60652,(773) 284-0696,07/30/2015 08:30:00 PM,07/30/2015 10:10:00 PM,Paul Veliotis,paul.veliotis@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Rainey1/,http://www.chicagoparkdistrict.com/parks/Rainey-Park/,Ashburn,Yes,PG,"4350 W. 79th St. Chicago IL 60652
Chicago, IL 60652
(41.74944687, -87.73049927)",8,69,4300,571,30,23
Night Out: Movies in the Parks at South Shore,Sparkle (1976),South Shore Cultural Center,60649,(773) 256-0149,09/02/2015 08:00:00 PM,09/02/2015 09:38:00 PM,Andrea Adams,andrea.adams@chicagopark.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-South-Shore11/,http://www.chicagoparkdistrict.com/parks/South-Shore-Cultural-Center/,South Shore,Yes,PG,"7059 S. South Shore Dr. Chicago IL 6064960649
(41.76674652, -87.56651306)",24,39,22538,142,33,32
Night Out: Movies in the Parks at Jonquil,Edward Scissorhands,Jonquil Playlot Park,60614,(312) 742-7816 ,06/21/2015 08:30:00 PM,06/21/2015 10:15:00 PM,Matt Fontana  (Wrightwood Park),,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Jonquil8/,http://www.chicagoparkdistrict.com/parks/Jonquil-Playlot-Park/,Lincoln Park,Yes,PG-13,"1001 W. Wrightwood Ave. Chicago IL 60614
Chicago, IL 60614
(41.92899323, -87.65377045)",16,68,21190,795,34,16
Night Out: Movies in the Parks at Portage,Annie (2014),Portage Park,60641,(773) 685-7235,07/08/2015 08:30:00 PM,07/08/2015 10:30:00 PM,Gonzalo Reyes,,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Portage1/,http://www.chicagoparkdistrict.com/parks/Portage-Park/,Portage Park,N/A,PG,"4100 N Long Ave Chicago, IL 60641
Chicago, IL 60641
(41.95508957, -87.76216125)",21,15,22618,260,19,25
Night Out: Movies in the Parks at Chopin,Angels in the Outfield,Chopin Park,60641,(773) 685-3247,08/22/2015 08:00:00 PM,08/22/2015 09:42:00 PM,Mike Mucci,michael.mucci@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Chopin2/,http://www.chicagoparkdistrict.com/parks/Chopin-Park/,Portage Park,Yes,PG,"3420 N. Long Ave. Chicago IL 60641
Chicago, IL 60641
(41.94267654, -87.76173401)",21,15,22618,361,21,25
Night Out: Movies in the Parks at Vet's Memorial,Frozen,Veteran's Memorial Park,60617,(312) 747-6812,08/21/2015 08:00:00 PM,08/21/2015 09:48:00 PM,Robert Quinones,robert.quinones@chicagoparkdistrict.com,http://www.chicagoparkdistrict.com/events/Night-Out-Movies-in-the-Parks-at-Vets-Memorial1/,http://www.chicagoparkdistrict.com/parks/Veterans-Memorial-Park/,South Deering,Yes,PG,"2820 E. 98th St. Chicago IL 60617
Chicago, IL 60617
(41.7172966, -87.55563354)",25,48,21202,526,47,47
